code,category,scientific_name,common_name,definition
ANPA,species,Antrozous pallidus,pallid bat,
ANTPAL,species,Antrozous pallidus,pallid bat,
ARJA,species,Artibeus jamaicensis,Jamaican fruit-eating bat,
ARTJAM,species,Artibeus jamaicensis,Jamaican fruit-eating bat,
BRCA,species,Brachyphylla cavernarum,Antillean fruit-eating bat,
BRACAV,species,Brachyphylla cavernarum,Antillean fruit-eating bat,
CHME,species,Choeronycteris mexicana,Mexican long-tongued bat,
CHOMEX,species,Choeronycteris mexicana,Mexican long-tongued bat,
CORA,species,Corynorhinus rafinesquii,Rafinesque's big-eared bat,
CORRAF,species,Corynorhinus rafinesquii,Rafinesque's big-eared bat,
COTO,species,Corynorhinus townsendii,Townsend's big-eared bat,
CORTOW,species,Corynorhinus townsendii,Townsend's big-eared bat,
COTI,species,Corynorhinus townsendii ingens,Ozark big-eared bat,
COTOIN,species,Corynorhinus townsendii ingens,Ozark big-eared bat,
COTV,species,Corynorhinus townsendii virginianus,Virginia big-eared bat,
COTOVI,species,Corynorhinus townsendii virginianus,Virginia big-eared bat,
DIEC,species,Diphylla ecaudata,hairy-legged vampire bat,
DIPECA,species,Diphylla ecaudata,hairy-legged vampire bat,
EPFU,species,Eptesicus fuscus,big brown bat,
EPTFUS,species,Eptesicus fuscus,big brown bat,
EUMA,species,Euderma maculatum,spotted bat,
EUDMAC,species,Euderma maculatum,spotted bat,
EUFL,species,Eumops floridanus,Florida bonneted bat,
EUMFLO,species,Eumops floridanus,Florida bonneted bat,
EUPE,species,Eumops perotis,greater bonneted bat,
EUMPER,species,Eumops perotis,greater bonneted bat,
EUUN,species,Eumops underwoodi,Underwood's bonneted bat,
EUMUND,species,Eumops underwoodi,Underwood's bonneted bat,
IDPH,species,Idionycteris phyllotis,Allen's big-eared bat,
IDIPHY,species,Idionycteris phyllotis,Allen's big-eared bat,
LANO,species,Lasionycteris noctivagans,silver-haired bat,
LASNOC,species,Lasionycteris noctivagans,silver-haired bat,
LABO,species,Lasiurus borealis,eastern red bat,
LASBOR,species,Lasiurus borealis,eastern red bat,
LACI,species,Lasiurus cinereus,hoary bat,
LASCIN,species,Lasiurus cinereus,hoary bat,
LACS,species,Lasiurus cinereus semotus,ʻōpeʻapeʻa; Hawaiian hoary bat,
LACISE,species,Lasiurus cinereus semotus,ʻōpeʻapeʻa; Hawaiian hoary bat,
LAEG,species,Lasiurus ega,southern yellow bat,
LASEGA,species,Lasiurus ega,southern yellow bat,
LAFR,species,Lasiurus frantzii,desert red bat,
LASFRA,species,Lasiurus frantzii,desert red bat,
LAIN,species,Lasiurus intermedius,northern yellow bat,
LASINT,species,Lasiurus intermedius,northern yellow bat,
LAMI,species,Lasiurus minor,minor red bat,
LASMIN,species,Lasiurus minor,minor red bat,
LASE,species,Lasiurus seminolus,Seminole bat,
LASSEM,species,Lasiurus seminolus,Seminole bat,
LAXA,species,Lasiurus xanthinus,western yellow bat,
LASXAN,species,Lasiurus xanthinus,western yellow bat,
LENI,species,Leptonycteris nivalis,Mexican long-nosed bat,
LEPNIV,species,Leptonycteris nivalis,Mexican long-nosed bat,
LEYE,species,Leptonycteris yerbabuenae,lesser long-nosed bat,
LEPYER,species,Leptonycteris yerbabuenae,lesser long-nosed bat,
MACA,species,Macrotus californicus,California leaf-nosed bat,
MACCAL,species,Macrotus californicus,California leaf-nosed bat,
MOMO,species,Molossus molossus,Pallas' mastiff bat,
MOLMOL,species,Molossus molossus,Pallas' mastiff bat,
MOME,species,Mormoops megalophylla,Peter's ghost-faced bat,
MORMEG,species,Mormoops megalophylla,Peter's ghost-faced bat,
MYAR,species,Myotis auriculus,southwestern myotis,
MYOAUR,species,Myotis auriculus,southwestern myotis,
MYAU,species,Myotis austroriparius,southeastern myotis,
MYOAUS,species,Myotis austroriparius,southeastern myotis,
MYCA,species,Myotis californicus,California myotis,
MYOCAL,species,Myotis californicus,California myotis,
MYCI,species,Myotis ciliolabrum,western small-footed myotis,
MYOCIL,species,Myotis ciliolabrum,western small-footed myotis,
MYEV,species,Myotis evotis,long-eared myotis,
MYOEVO,species,Myotis evotis,long-eared myotis,
MYGR,species,Myotis grisescens,gray bat,
MYOGRI,species,Myotis grisescens,gray bat,
MYKE,species,Myotis keenii,Keen's myotis,
MYOKEE,species,Myotis keenii,Keen's myotis,
MYLE,species,Myotis leibii,eastern small-footed myotis,
MYOLEI,species,Myotis leibii,eastern small-footed myotis,
MYLU,species,Myotis lucifugus,little brown bat,
MYOLUC,species,Myotis lucifugus,little brown bat,
MYOC,species,Myotis occultus,Arizona myotis,
MYOOCC,species,Myotis occultus,Arizona myotis,
MYSE,species,Myotis septentrionalis,northern long-eared bat,
MYOSEP,species,Myotis septentrionalis,northern long-eared bat,
MYSO,species,Myotis sodalis,Indiana bat,
MYOSOD,species,Myotis sodalis,Indiana bat,
MYTH,species,Myotis thysanodes,fringed myotis,
MYOTHY,species,Myotis thysanodes,fringed myotis,
MYVE,species,Myotis velifer,cave bat myotis,
MYOVEL,species,Myotis velifer,cave bat myotis,
MYVO,species,Myotis volans,long-legged myotis,
MYOVOL,species,Myotis volans,long-legged myotis,
MYYU,species,Myotis yumanensis,Yuma myotis,
